Title,Description,Price,Rating
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Blue, 1 Year Warranty/Local Version","5,999",4.1
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy,1 Year Warranty/Local Version","12,662",4.2
SAMSUNG,"Galaxy A06 Dual Sim 6GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Gold- 1 Year Warranty/Local Version","7,500",NA
SAMSUNG,"Galaxy Z Fold6 (AI Phone) - 12GB RAM + 256GB Storage - Light Pink, 1 Year Local Warranty","69,999",2.7
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Lilac -1 Year Warranty/Local Version",NA,4.1
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Blue Black, 1 Year Warranty/Local Version","7,899",4.1
SAMSUNG,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 64GB Storage,Silver- 1 Year Warranty/Local Version","4,199",3.8
SAMSUNG,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Black- 1 Year Warranty/Local Version","4,649",3.9
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy -1 Year Warranty/Local Version","17,190",4.1
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Light Blue, 1 Year Warranty/Local Version","6,749",4.1
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Blue, 1 Year Warranty/Local Version","5,999",4.1
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Iceblue -1 Year Warranty/Local Version","17,080",4.1
SAMSUNG,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 64GB Storage, Black- 1 Year Warranty/Local Version","4,800",4.0
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue, 1 Year Warranty/Local Version","12,666",4.2
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Light Blue, 1 Year Warranty/Local Version","8,049",4.1
SAMSUNG,"Microwave oven 32 L, Tact & Dial, LED Display, Black (local warranty)","6,666",NA
SAMSUNG,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage,Silver- 1 Year Warranty/Local Version","4,649",3.9
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Black Blue, 1 Year Warranty/Local Version","6,999",4.1
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy, 1 Year Warranty/Local Version","14,089",4.2
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy,1 Year Warranty/Local Version","12,662",4.2
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lemon -1 Year Warranty/Local Version","15,799",4.1
SAMSUNG,"Galaxy Tab A9 LTE Android Tablet, 8GB RAM, 128GB Storage, Navy","9,219",4.2
SAMSUNG,"Galaxy S24+, AI Phone, 256GB Storage, 12GB RAM, Android Smartphone, 50MP Camera, Bigger Display, Faster RAM, Long Battery Life, Cobalt Violet-1 Year Warranty/Local Version","38,999",4.2
SAMSUNG,55 Inch QLED/The Frame 4K Smart TV with Built-in Receiver With 1 Frame - QA55LS03BAUXEG,"34,999",3.8
SAMSUNG,32 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA32T5300AUXEG,"6,799",4.1
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Iceblue, 1 Year Warranty/Local Version","14,450",4.2
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Blue Black, 1 Year Warranty/Local Version","6,499",4.1
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Lemon -1 Year Warranty/Local Version","17,090",4.1
